Load
time,P,Q
2014-01-01 00:00:00,34.199999999999996,11.240996397117133
2014-01-01 00:01:00,34.199999999999996,11.240996397117133
2014-01-01 00:02:00,34.199999999999996,11.240996397117133
2014-01-01 00:03:00,34.199999999999996,11.240996397117133
2014-01-01 00:04:00,34.199999999999996,11.240996397117133
2014-01-01 00:05:00,34.199999999999996,11.240996397117133
2014-01-01 00:06:00,34.199999999999996,11.240996397117133
2014-01-01 00:07:00,34.199999999999996,11.240996397117133
2014-01-01 00:08:00,34.199999999999996,11.240996397117133
2014-01-01 00:09:00,34.199999999999996,11.240996397117133
2014-01-01 00:10:00,34.199999999999996,11.240996397117133
2014-01-01 00:11:00,34.199999999999996,11.240996397117133
2014-01-01 00:12:00,34.199999999999996,11.240996397117133
2014-01-01 00:13:00,34.199999999999996,11.240996397117133
2014-01-01 00:14:00,34.199999999999996,11.240996397117133
2014-01-01 00:15:00,34.199999999999996,11.240996397117133
2014-01-01 00:16:00,34.199999999999996,11.240996397117133
2014-01-01 00:17:00,34.199999999999996,11.240996397117133
2014-01-01 00:18:00,34.199999999999996,11.240996397117133
2014-01-01 00:19:00,34.199999999999996,11.240996397117133
2014-01-01 00:20:00,34.199999999999996,11.240996397117133
2014-01-01 00:21:00,34.199999999999996,11.240996397117133
2014-01-01 00:22:00,34.199999999999996,11.240996397117133
2014-01-01 00:23:00,34.199999999999996,11.240996397117133
2014-01-01 00:24:00,34.199999999999996,11.240996397117133
2014-01-01 00:25:00,34.199999999999996,11.240996397117133
2014-01-01 00:26:00,34.199999999999996,11.240996397117133
2014-01-01 00:27:00,34.199999999999996,11.240996397117133
2014-01-01 00:28:00,34.199999999999996,11.240996397117133
2014-01-01 00:29:00,34.199999999999996,11.240996397117133
2014-01-01 00:30:00,34.199999999999996,11.240996397117133
2014-01-01 00:31:00,34.199999999999996,11.240996397117133
2014-01-01 00:32:00,34.199999999999996,11.240996397117133
2014-01-01 00:33:00,34.199999999999996,11.240996397117133
2014-01-01 00:34:00,34.199999999999996,11.240996397117133
2014-01-01 00:35:00,34.199999999999996,11.240996397117133
2014-01-01 00:36:00,34.199999999999996,11.240996397117133
2014-01-01 00:37:00,34.199999999999996,11.240996397117133
2014-01-01 00:38:00,34.199999999999996,11.240996397117133
2014-01-01 00:39:00,34.199999999999996,11.240996397117133
2014-01-01 00:40:00,34.199999999999996,11.240996397117133
2014-01-01 00:41:00,34.199999999999996,11.240996397117133
2014-01-01 00:42:00,34.199999999999996,11.240996397117133
2014-01-01 00:43:00,34.199999999999996,11.240996397117133
2014-01-01 00:44:00,34.199999999999996,11.240996397117133
2014-01-01 00:45:00,34.199999999999996,11.240996397117133
2014-01-01 00:46:00,34.199999999999996,11.240996397117133
2014-01-01 00:47:00,34.199999999999996,11.240996397117133
2014-01-01 00:48:00,182.39999999999998,59.951980784624666
2014-01-01 00:49:00,182.39999999999998,59.951980784624666
2014-01-01 00:50:00,182.39999999999998,59.951980784624666
2014-01-01 00:51:00,182.39999999999998,59.951980784624666
2014-01-01 00:52:00,182.39999999999998,59.951980784624666
2014-01-01 00:53:00,182.39999999999998,59.951980784624666
2014-01-01 00:54:00,182.39999999999998,59.951980784624666
2014-01-01 00:55:00,182.39999999999998,59.951980784624666
2014-01-01 00:56:00,182.39999999999998,59.951980784624666
2014-01-01 00:57:00,182.39999999999998,59.951980784624666
2014-01-01 00:58:00,182.39999999999998,59.951980784624666
2014-01-01 00:59:00,182.39999999999998,59.951980784624666
2014-01-01 01:00:00,182.39999999999998,59.951980784624666
2014-01-01 01:01:00,182.39999999999998,59.951980784624666
2014-01-01 01:02:00,182.39999999999998,59.951980784624666
2014-01-01 01:03:00,182.39999999999998,59.951980784624666
2014-01-01 01:04:00,182.39999999999998,59.951980784624666
2014-01-01 01:05:00,182.39999999999998,59.951980784624666
2014-01-01 01:06:00,292.59999999999997,96.17296917533544
2014-01-01 01:07:00,292.59999999999997,96.17296917533544
2014-01-01 01:08:00,292.59999999999997,96.17296917533544
2014-01-01 01:09:00,292.59999999999997,96.17296917533544
2014-01-01 01:10:00,144.4,47.461984787827824
2014-01-01 01:11:00,144.4,47.461984787827824
2014-01-01 01:12:00,144.4,47.461984787827824
2014-01-01 01:13:00,144.4,47.461984787827824
2014-01-01 01:14:00,144.4,47.461984787827824
2014-01-01 01:15:00,144.4,47.461984787827824
2014-01-01 01:16:00,144.4,47.461984787827824
2014-01-01 01:17:00,144.4,47.461984787827824
2014-01-01 01:18:00,144.4,47.461984787827824
2014-01-01 01:19:00,144.4,47.461984787827824
2014-01-01 01:20:00,144.4,47.461984787827824
2014-01-01 01:21:00,144.4,47.461984787827824
2014-01-01 01:22:00,144.4,47.461984787827824
2014-01-01 01:23:00,144.4,47.461984787827824
2014-01-01 01:24:00,34.199999999999996,11.240996397117133
2014-01-01 01:25:00,34.199999999999996,11.240996397117133
2014-01-01 01:26:00,34.199999999999996,11.240996397117133
2014-01-01 01:27:00,34.199999999999996,11.240996397117133
2014-01-01 01:28:00,34.199999999999996,11.240996397117133
2014-01-01 01:29:00,34.199999999999996,11.240996397117133
2014-01-01 01:30:00,34.199999999999996,11.240996397117133
2014-01-01 01:31:00,34.199999999999996,11.240996397117133
2014-01-01 01:32:00,34.199999999999996,11.240996397117133
2014-01-01 01:33:00,34.199999999999996,11.240996397117133
2014-01-01 01:34:00,34.199999999999996,11.240996397117133
2014-01-01 01:35:00,34.199999999999996,11.240996397117133
2014-01-01 01:36:00,34.199999999999996,11.240996397117133
2014-01-01 01:37:00,34.199999999999996,11.240996397117133
2014-01-01 01:38:00,34.199999999999996,11.240996397117133
2014-01-01 01:39:00,34.199999999999996,11.240996397117133
2014-01-01 01:40:00,34.199999999999996,11.240996397117133
2014-01-01 01:41:00,34.199999999999996,11.240996397117133
2014-01-01 01:42:00,34.199999999999996,11.240996397117133
2014-01-01 01:43:00,34.199999999999996,11.240996397117133
2014-01-01 01:44:00,34.199999999999996,11.240996397117133
2014-01-01 01:45:00,34.199999999999996,11.240996397117133
2014-01-01 01:46:00,34.199999999999996,11.240996397117133
2014-01-01 01:47:00,34.199999999999996,11.240996397117133
2014-01-01 01:48:00,34.199999999999996,11.240996397117133
2014-01-01 01:49:00,34.199999999999996,11.240996397117133
2014-01-01 01:50:00,34.199999999999996,11.240996397117133
2014-01-01 01:51:00,34.199999999999996,11.240996397117133
2014-01-01 01:52:00,34.199999999999996,11.240996397117133
2014-01-01 01:53:00,34.199999999999996,11.240996397117133
2014-01-01 01:54:00,34.199999999999996,11.240996397117133
2014-01-01 01:55:00,34.199999999999996,11.240996397117133
2014-01-01 01:56:00,34.199999999999996,11.240996397117133
2014-01-01 01:57:00,34.199999999999996,11.240996397117133
2014-01-01 01:58:00,34.199999999999996,11.240996397117133
2014-01-01 01:59:00,34.199999999999996,11.240996397117133
2014-01-01 02:00:00,34.199999999999996,11.240996397117133
2014-01-01 02:01:00,34.199999999999996,11.240996397117133
2014-01-01 02:02:00,34.199999999999996,11.240996397117133
2014-01-01 02:03:00,34.199999999999996,11.240996397117133
2014-01-01 02:04:00,34.199999999999996,11.240996397117133
2014-01-01 02:05:00,34.199999999999996,11.240996397117133
2014-01-01 02:06:00,34.199999999999996,11.240996397117133
2014-01-01 02:07:00,34.199999999999996,11.240996397117133
2014-01-01 02:08:00,34.199999999999996,11.240996397117133
2014-01-01 02:09:00,34.199999999999996,11.240996397117133
2014-01-01 02:10:00,34.199999999999996,11.240996397117133
2014-01-01 02:11:00,34.199999999999996,11.240996397117133
2014-01-01 02:12:00,34.199999999999996,11.240996397117133
2014-01-01 02:13:00,34.199999999999996,11.240996397117133
2014-01-01 02:14:00,34.199999999999996,11.240996397117133
2014-01-01 02:15:00,34.199999999999996,11.240996397117133
2014-01-01 02:16:00,34.199999999999996,11.240996397117133
2014-01-01 02:17:00,34.199999999999996,11.240996397117133
2014-01-01 02:18:00,34.199999999999996,11.240996397117133
2014-01-01 02:19:00,34.199999999999996,11.240996397117133
2014-01-01 02:20:00,34.199999999999996,11.240996397117133
2014-01-01 02:21:00,34.199999999999996,11.240996397117133
2014-01-01 02:22:00,34.199999999999996,11.240996397117133
2014-01-01 02:23:00,34.199999999999996,11.240996397117133
